Order_Batch_ID,Date,Month,Day,City,Cuisine,Order_Channel,Weather,Orders,Average_Order_Value,Revenue,Marketing_Spend,Discounts,Avg_Delivery_Minutes,Customer_Rating,Repeat_Customer_Percent
FD0051,2025-06-09,June,Monday,Pune,Chinese,Website,Cloudy,110,362.6,46545.88,36988.96,7516.08,35.3,4.35,40.2
FD0052,2025-03-06,March,Thursday,Mumbai,Biryani,App,Rainy,126,433.22,51485.5,30272.5,7347.82,35.8,4.37,39.9
FD0053,2025-10-17,October,Friday,Bengaluru,Fast Food,App,Clear,199,279.7,59112.45,25842.02,2910.97,30.9,4.45,42.1
FD0054,2025-10-21,October,Tuesday,Chandigarh,Healthy,App,Cloudy,146,492.68,76459.43,25781.6,5788.85,27.6,4.55,48.7
FD0055,2025-04-26,April,Saturday,Jaipur,Biryani,App,Clear,138,443.59,63537.61,23445.12,5090.34,27.8,4.61,44.3
FD0056,2025-09-04,September,Thursday,Bengaluru,South Indian,App,Hot,191,334.75,63799.3,37624.56,8262.9,35.5,4.55,44.7
FD0057,2025-04-04,April,Friday,Hyderabad,Healthy,App,Cloudy,109,512.59,56846.51,22663.04,2674.51,27.8,4.65,49.6
FD0058,2025-03-13,March,Thursday,Delhi,Healthy,App,Clear,133,510.05,68936.85,30522.76,8046.74,21.5,4.86,49.0
FD0059,2025-12-03,December,Wednesday,Chandigarh,North Indian,App,Clear,159,488.89,78973.64,22568.48,7378.36,25.9,4.64,48.3
FD0060,2025-07-10,July,Thursday,Chandigarh,Fast Food,App,Clear,126,300.35,33340.47,19957.67,1511.64,23.1,4.69,48.6
FD0061,2025-04-21,April,Monday,Hyderabad,Biryani,Website,Clear,104,486.75,53019.43,23600.59,2444.31,32.2,4.37,34.2
FD0062,2025-08-06,August,Wednesday,Hyderabad,South Indian,Website,Clear,149,352.27,57925.8,20990.29,5530.07,31.9,4.51,37.5
FD0063,2025-12-13,December,Saturday,Delhi,Chinese,Website,Clear,223,356.14,80034.55,29588.51,6365.4,35.5,4.29,34.5
FD0064,2025-09-08,September,Monday,Bengaluru,Fast Food,Partner Platform,Cloudy,178,303.2,57467.54,38274.51,8463.92,26.2,4.79,42.3
FD0065,2025-02-23,February,Sunday,Kochi,Chinese,Partner Platform,Cloudy,138,357.75,48082.51,18831.67,3472.53,35.0,4.48,42.2
FD0066,2025-09-14,September,Sunday,Jaipur,Chinese,Partner Platform,Clear,149,339.49,51726.96,38632.28,7897.89,31.0,4.62,38.6
FD0067,2025-01-21,January,Tuesday,Kochi,North Indian,App,Cloudy,68,423.06,26693.85,22052.13,2475.61,27.3,4.5,43.7
FD0068,2025-03-02,March,Sunday,Bengaluru,South Indian,Partner Platform,Clear,158,308.58,42929.14,32052.33,8060.77,31.6,4.52,41.9
FD0069,2025-04-14,April,Monday,Delhi,Biryani,App,Clear,176,448.5,74006.86,14383.61,6814.61,30.3,4.4,42.5
FD0070,2025-08-22,August,Friday,Bengaluru,Fast Food,Partner Platform,Cloudy,156,279.94,43220.74,26018.8,2734.23,36.5,4.34,36.7
FD0071,2025-04-10,April,Thursday,Kochi,South Indian,Website,Clear,58,288.77,20618.53,17301.76,1219.31,27.6,4.63,45.3
FD0072,2025-05-20,May,Tuesday,Mumbai,Chinese,App,Clear,156,373.01,61894.56,20338.09,6074.5,22.2,4.66,46.4
FD0073,2025-10-25,October,Saturday,Delhi,Chinese,App,Rainy,225,391.92,95631.74,31248.58,4480.22,36.4,4.2,39.2
FD0074,2025-01-23,January,Thursday,Delhi,South Indian,App,Cloudy,154,320.06,49245.09,15148.0,4486.94,31.1,4.62,46.8
FD0075,2025-01-18,January,Saturday,Hyderabad,North Indian,Website,Clear,121,431.83,44876.8,21165.82,4444.09,29.2,4.7,45.8
FD0076,2025-07-23,July,Wednesday,Pune,North Indian,App,Clear,138,435.32,60595.53,24574.68,3710.82,28.4,4.58,43.3
FD0077,2025-07-18,July,Friday,Chandigarh,Healthy,App,Clear,128,507.67,67972.09,22205.19,3586.92,26.2,4.66,46.6
FD0078,2025-10-05,October,Sunday,Chandigarh,Healthy,Website,Clear,157,478.42,72189.2,27472.62,4534.55,41.7,4.15,33.7
FD0079,2025-10-18,October,Saturday,Chandigarh,Fast Food,Partner Platform,Cloudy,133,304.96,44051.71,24756.09,2807.69,34.2,4.3,39.4
FD0080,2025-12-18,December,Thursday,Jaipur,Healthy,App,Rainy,148,463.53,73763.26,28198.79,3775.86,37.2,4.11,30.8
FD0081,2025-07-22,July,Tuesday,Jaipur,North Indian,App,Cloudy,130,421.75,54838.2,21982.04,4231.33,34.3,4.31,43.8
FD0082,2025-09-06,September,Saturday,Chandigarh,South Indian,Website,Hot,156,348.48,52639.47,40374.11,8325.64,33.1,4.53,41.8
FD0083,2025-06-18,June,Wednesday,Kochi,Fast Food,Partner Platform,Clear,88,338.55,34472.3,36718.09,7197.89,34.1,4.3,35.6
FD0084,2025-01-18,January,Saturday,Mumbai,Healthy,Partner Platform,Rainy,145,496.2,65749.22,20092.97,6405.01,44.3,4.11,31.8
FD0085,2025-04-16,April,Wednesday,Bengaluru,North Indian,Website,Clear,155,414.16,65287.52,21569.39,4896.2,32.1,4.34,33.8
FD0086,2025-10-02,October,Thursday,Jaipur,Biryani,App,Clear,150,451.43,68749.79,26419.58,3926.31,28.8,4.52,47.3
FD0087,2025-04-19,April,Saturday,Bengaluru,North Indian,App,Rainy,196,429.52,79423.18,17592.36,5218.96,37.8,4.23,41.4
FD0088,2025-01-28,January,Tuesday,Delhi,South Indian,App,Cloudy,135,340.24,52325.03,20388.01,2708.46,35.2,4.27,39.8
FD0089,2025-07-04,July,Friday,Kochi,Biryani,Partner Platform,Rainy,77,453.91,44609.59,25206.01,4060.93,35.3,4.4,34.9
FD0090,2025-06-19,June,Thursday,Pune,Healthy,App,Rainy,106,500.96,57659.56,31084.25,7345.43,25.0,4.74,48.1
FD0091,2025-02-15,February,Saturday,Kochi,Healthy,App,Hot,123,496.25,61804.65,21402.55,3288.93,31.5,4.36,41.9
FD0092,2025-10-21,October,Tuesday,Pune,Biryani,Website,Clear,159,457.02,77239.48,28277.29,5390.07,35.0,4.26,32.8
FD0093,2025-06-04,June,Wednesday,Bengaluru,Biryani,Partner Platform,Clear,135,431.24,59689.98,35224.69,8515.78,36.5,4.38,39.1
FD0094,2025-01-27,January,Monday,Jaipur,Fast Food,App,Cloudy,102,346.32,32231.69,12914.1,2827.03,28.6,4.75,46.8
FD0095,2025-09-06,September,Saturday,Pune,South Indian,Partner Platform,Hot,173,357.58,65756.5,35360.61,9004.48,37.2,4.38,41.2
FD0096,2025-12-17,December,Wednesday,Hyderabad,North Indian,App,Cloudy,168,470.61,72604.95,27236.46,5263.29,31.1,4.54,43.1
FD0097,2025-11-14,November,Friday,Delhi,Fast Food,App,Hot,189,369.57,66840.1,39946.56,10737.16,33.9,4.41,45.4
FD0098,2025-11-25,November,Tuesday,Delhi,South Indian,Partner Platform,Clear,176,321.06,62672.14,41487.51,9597.13,29.1,4.63,38.4
FD0099,2025-06-03,June,Tuesday,Jaipur,Healthy,App,Clear,110,575.94,61911.26,35930.18,8957.83,28.7,4.69,47.0
FD0100,2025-08-09,August,Saturday,Chandigarh,Fast Food,App,Cloudy,133,357.77,41053.94,30912.36,1853.97,35.5,4.38,44.3
FD0101,2025-01-28,January,Tuesday,Chandigarh,Fast Food,App,Clear,89,371.53,33182.86,15520.07,1664.93,24.5,4.61,48.0
FD0102,2025-03-20,March,Thursday,Delhi,Chinese,Website,Cloudy,168,380.5,66250.7,32377.46,7236.5,37.2,4.41,35.2
FD0103,2025-03-09,March,Sunday,Delhi,Biryani,Partner Platform,Hot,166,451.95,75024.75,31402.18,10733.66,41.9,4.08,34.1
FD0104,2025-09-04,September,Thursday,Delhi,Biryani,App,Clear,184,483.6,87205.92,37126.69,10388.93,29.6,4.76,53.2
FD0105,2025-04-26,April,Saturday,Jaipur,Biryani,App,Clear,129,485.66,68457.3,23789.47,3822.91,30.5,4.63,46.9
FD0106,2025-06-12,June,Thursday,Delhi,Chinese,App,Clear,143,370.16,57016.34,35144.73,7787.37,24.7,4.74,53.0
FD0107,2025-06-02,June,Monday,Hyderabad,Biryani,App,Hot,134,473.07,63328.24,33196.47,9434.21,31.2,4.53,48.7
FD0108,2025-09-17,September,Wednesday,Chandigarh,Biryani,App,Clear,123,522.05,67881.81,35778.71,9239.04,25.7,4.74,46.7
FD0109,2025-12-24,December,Wednesday,Jaipur,South Indian,App,Clear,158,409.71,73669.75,28025.66,3555.85,24.1,4.55,41.7
FD0110,2025-04-09,April,Wednesday,Mumbai,Chinese,App,Cloudy,135,408.58,54482.79,17931.52,3032.13,26.9,4.78,47.8
FD0111,2025-06-09,June,Monday,Jaipur,South Indian,App,Hot,110,308.81,31962.11,31266.3,5455.27,30.6,4.58,45.7
FD0112,2025-07-25,July,Friday,Delhi,North Indian,Website,Clear,153,374.25,60871.1,25244.64,3380.52,29.3,4.61,40.3
FD0113,2025-05-10,May,Saturday,Kochi,Chinese,Partner Platform,Hot,128,363.95,48138.86,26579.65,3456.97,32.7,4.39,40.0
FD0114,2025-06-27,June,Friday,Mumbai,Fast Food,Partner Platform,Cloudy,148,303.11,47041.58,37489.75,8003.47,32.9,4.49,39.8
FD0115,2025-05-16,May,Friday,Bengaluru,North Indian,App,Cloudy,174,442.63,77993.63,23396.98,5834.95,23.8,4.65,49.3
FD0116,2025-09-04,September,Thursday,Chandigarh,Chinese,Partner Platform,Rainy,128,391.22,45625.93,33393.15,7877.87,38.1,4.2,35.7
FD0117,2025-02-10,February,Monday,Jaipur,Fast Food,Partner Platform,Cloudy,87,311.73,24848.62,24590.3,2402.01,35.2,4.46,36.8
FD0118,2025-02-18,February,Tuesday,Bengaluru,North Indian,Partner Platform,Cloudy,111,414.35,48794.34,17572.94,3679.33,30.3,4.51,37.5
FD0119,2025-03-13,March,Thursday,Bengaluru,Chinese,App,Rainy,185,378.24,69068.1,27813.67,6942.01,40.4,4.28,40.8
FD0120,2025-07-21,July,Monday,Delhi,Biryani,Website,Cloudy,171,461.7,83975.21,20914.6,7458.15,37.6,4.3,38.5
FD0121,2025-09-18,September,Thursday,Hyderabad,Fast Food,Website,Cloudy,159,304.6,50202.27,32958.77,8755.71,34.6,4.29,35.5
FD0122,2025-01-24,January,Friday,Chandigarh,Biryani,Website,Cloudy,101,462.58,46489.33,18534.83,2696.82,36.6,4.57,39.2
FD0123,2025-03-27,March,Thursday,Bengaluru,Fast Food,Partner Platform,Clear,134,293.48,42512.65,32224.47,6938.92,33.1,4.42,41.5
FD0124,2025-12-09,December,Tuesday,Pune,North Indian,App,Rainy,171,460.4,83549.53,27547.7,5954.87,30.8,4.73,49.3
FD0125,2025-05-08,May,Thursday,Delhi,North Indian,Website,Hot,169,457.74,85495.75,19703.92,6513.49,36.1,4.38,35.5
FD0126,2025-05-24,May,Saturday,Delhi,Healthy,Partner Platform,Clear,187,533.66,96396.12,22998.12,9573.57,35.7,4.21,26.5
FD0127,2025-02-18,February,Tuesday,Pune,Healthy,App,Cloudy,121,466.49,53468.62,22449.36,4302.15,28.2,4.72,45.1
FD0128,2025-04-23,April,Wednesday,Kochi,Healthy,App,Clear,110,494.17,51238.12,22185.87,3887.28,22.0,4.78,47.7
FD0129,2025-04-20,April,Sunday,Chandigarh,Fast Food,Website,Cloudy,132,318.75,30927.56,22312.38,2510.54,26.8,4.71,47.4
FD0130,2025-09-13,September,Saturday,Pune,Healthy,Website,Cloudy,155,512.37,78036.42,30349.74,7566.5,33.3,4.48,41.5
FD0131,2025-05-10,May,Saturday,Bengaluru,Fast Food,Partner Platform,Cloudy,185,292.01,54600.57,23161.83,3691.52,32.1,4.37,38.7
FD0132,2025-04-11,April,Friday,Bengaluru,Healthy,App,Cloudy,156,534.62,91560.06,22764.62,5364.64,30.2,4.31,42.0
FD0133,2025-11-07,November,Friday,Bengaluru,South Indian,App,Clear,222,353.36,80084.53,40674.96,11857.42,32.8,4.36,42.3
FD0134,2025-06-23,June,Monday,Mumbai,Fast Food,Website,Hot,143,303.2,46118.68,38604.67,8036.49,33.9,4.45,38.2
FD0135,2025-06-06,June,Friday,Chandigarh,Healthy,App,Rainy,120,486.64,58164.82,32240.84,9070.47,33.8,4.48,49.5
FD0136,2025-02-18,February,Tuesday,Chandigarh,Healthy,App,Hot,108,470.34,57077.63,18194.31,4351.33,28.6,4.7,43.9
FD0137,2025-11-19,November,Wednesday,Delhi,South Indian,App,Clear,192,387.89,73010.86,38691.64,10738.11,24.0,4.57,43.9
FD0138,2025-09-03,September,Wednesday,Bengaluru,South Indian,App,Cloudy,203,376.77,80340.13,36246.43,8398.08,32.8,4.55,46.0
FD0139,2025-11-22,November,Saturday,Delhi,Fast Food,Partner Platform,Rainy,226,278.19,69540.39,37578.53,9530.75,42.3,3.92,30.2
FD0140,2025-06-07,June,Saturday,Delhi,South Indian,App,Cloudy,210,296.49,56981.65,34670.27,8488.5,36.4,4.47,42.1
FD0141,2025-01-05,January,Sunday,Pune,Chinese,App,Cloudy,134,388.2,60652.4,18154.07,4609.35,27.7,4.8,52.7
FD0142,2025-03-27,March,Thursday,Jaipur,North Indian,App,Rainy,102,454.15,48030.03,32436.51,6374.68,42.5,4.17,39.7
FD0143,2025-11-06,November,Thursday,Jaipur,Healthy,Partner Platform,Rainy,114,538.33,62692.81,34075.12,6998.92,43.2,4.17,31.3
FD0144,2025-01-02,January,Thursday,Mumbai,Biryani,Website,Rainy,153,417.1,60737.12,23547.3,3265.59,39.1,4.14,36.8
FD0145,2025-11-06,November,Thursday,Jaipur,North Indian,App,Cloudy,141,426.12,57889.52,39831.32,9839.93,30.7,4.68,51.3
FD0146,2025-08-13,August,Wednesday,Hyderabad,Biryani,App,Rainy,161,420.45,71813.98,24936.49,5696.48,33.4,4.71,47.3
FD0147,2025-03-22,March,Saturday,Delhi,Healthy,App,Clear,186,489.96,101209.53,27875.95,12504.73,27.3,4.67,48.0
FD0148,2025-12-04,December,Thursday,Mumbai,Healthy,App,Cloudy,176,522.05,87824.42,32383.33,4936.48,30.5,4.35,41.0
FD0149,2025-01-26,January,Sunday,Jaipur,Fast Food,App,Rainy,117,318.1,38756.12,18513.65,2178.57,38.8,4.2,39.2
FD0150,2025-11-25,November,Tuesday,Hyderabad,North Indian,App,Clear,142,451.2,62827.92,38871.25,8708.66,30.2,4.57,45.6
FD0151,2025-10-18,October,Saturday,Mumbai,Fast Food,App,Clear,217,351.27,73842.22,25461.43,4144.09,27.9,4.61,46.4
FD0152,2025-09-08,September,Monday,Chandigarh,Healthy,Website,Rainy,121,473.99,54074.51,40969.9,9055.54,38.4,4.16,36.4
FD0153,2025-03-24,March,Monday,Chandigarh,Healthy,App,Rainy,108,475.12,48086.71,28916.68,5871.29,38.2,4.24,40.7
FD0154,2025-05-17,May,Saturday,Hyderabad,Chinese,App,Rainy,159,426.49,61634.81,25225.53,5221.89,38.3,4.15,35.2
FD0155,2025-06-23,June,Monday,Bengaluru,Healthy,App,Clear,203,508.86,105484.1,33888.12,13134.11,25.8,4.58,43.0
FD0156,2025-03-21,March,Friday,Hyderabad,Fast Food,Partner Platform,Cloudy,118,328.01,37715.55,30962.2,6891.64,39.5,4.06,29.1
FD0157,2025-01-19,January,Sunday,Bengaluru,Fast Food,App,Rainy,182,354.0,56862.46,15469.49,3069.32,39.1,4.29,40.4
FD0158,2025-10-18,October,Saturday,Mumbai,Chinese,App,Clear,223,389.16,89724.47,24606.49,6239.4,26.5,4.55,42.9
FD0159,2025-11-14,November,Friday,Jaipur,South Indian,App,Hot,139,395.2,54685.45,41589.15,10356.6,26.8,4.76,49.5
FD0160,2025-03-09,March,Sunday,Kochi,Biryani,App,Hot,142,454.49,60377.57,31816.51,8565.97,32.9,4.68,45.1
FD0161,2025-08-18,August,Monday,Pune,Chinese,Partner Platform,Clear,142,410.72,52528.81,22731.9,3249.54,31.2,4.53,40.4
FD0162,2025-02-01,February,Saturday,Bengaluru,North Indian,App,Rainy,179,438.95,79229.17,23721.81,4230.65,34.7,4.3,46.9
FD0163,2025-07-28,July,Monday,Hyderabad,Chinese,App,Cloudy,147,392.33,60376.39,27176.04,4132.59,31.3,4.66,47.5
FD0164,2025-12-27,December,Saturday,Kochi,Chinese,Partner Platform,Rainy,152,409.68,59158.27,26336.12,4793.74,37.2,4.38,39.5
FD0165,2025-11-08,November,Saturday,Hyderabad,South Indian,App,Clear,168,346.21,63137.82,35380.07,7195.65,37.4,4.21,40.8
FD0166,2025-10-20,October,Monday,Kochi,Chinese,App,Hot,129,385.89,58449.67,29608.7,5231.85,28.6,4.68,45.7
FD0167,2025-08-20,August,Wednesday,Mumbai,North Indian,Partner Platform,Hot,152,374.25,56149.84,25644.91,3562.49,35.3,4.52,44.6
FD0168,2025-10-03,October,Friday,Chandigarh,Chinese,App,Clear,148,356.41,57407.88,24710.28,5427.19,27.2,4.66,47.3
FD0169,2025-12-26,December,Friday,Chandigarh,Fast Food,Partner Platform,Clear,129,278.77,32593.17,27753.39,2883.64,31.5,4.58,44.3
FD0170,2025-11-18,November,Tuesday,Kochi,Biryani,Partner Platform,Clear,97,466.39,45062.04,38537.49,8931.76,25.6,4.84,46.1
FD0171,2025-03-20,March,Thursday,Mumbai,Healthy,App,Hot,158,461.2,70085.12,28216.81,8906.0,27.4,4.7,47.2
FD0172,2025-06-11,June,Wednesday,Chandigarh,North Indian,App,Hot,95,443.82,41723.56,32041.91,6626.27,32.5,4.34,39.8
FD0173,2025-02-21,February,Friday,Delhi,Healthy,App,Clear,141,463.21,65027.82,18772.06,4357.92,30.9,4.54,47.7
FD0174,2025-02-12,February,Wednesday,Mumbai,Fast Food,Partner Platform,Clear,145,307.13,42008.2,16486.34,2270.6,29.7,4.66,41.2
FD0175,2025-06-27,June,Friday,Pune,North Indian,App,Cloudy,122,464.93,71303.77,36913.64,9866.83,28.2,4.74,43.5
FD0176,2025-05-13,May,Tuesday,Mumbai,South Indian,Partner Platform,Clear,133,348.93,44793.8,24292.5,2462.19,31.6,4.46,39.7
FD0177,2025-01-16,January,Thursday,Hyderabad,South Indian,App,Hot,136,310.91,39605.23,16911.29,2275.48,27.2,4.7,51.7
FD0178,2025-10-24,October,Friday,Pune,Biryani,App,Rainy,140,463.94,57837.92,25431.19,5361.99,39.5,4.08,36.0
FD0179,2025-03-15,March,Saturday,Bengaluru,Chinese,App,Clear,217,386.67,86148.5,31831.88,11801.08,28.7,4.41,41.2
FD0180,2025-04-11,April,Friday,Jaipur,Fast Food,App,Clear,105,327.1,37215.09,21852.05,3539.3,32.7,4.34,42.7
FD0181,2025-04-03,April,Thursday,Bengaluru,Chinese,App,Rainy,130,444.77,48967.28,12370.53,2855.65,34.3,4.37,41.0
FD0182,2025-02-26,February,Wednesday,Delhi,Healthy,Website,Clear,130,494.35,61024.64,19572.82,3755.56,38.2,4.1,33.2
FD0183,2025-06-22,June,Sunday,Mumbai,South Indian,Website,Clear,156,357.62,56498.07,31755.67,7817.67,34.2,4.39,42.8
FD0184,2025-12-08,December,Monday,Hyderabad,Healthy,App,Clear,160,519.49,80537.36,31278.55,7741.97,24.3,4.68,41.6
FD0185,2025-08-19,August,Tuesday,Bengaluru,Chinese,App,Clear,183,374.89,72791.66,20329.25,4207.45,24.5,4.79,52.3
FD0186,2025-12-09,December,Tuesday,Bengaluru,Biryani,App,Clear,235,461.36,108994.9,25370.11,9659.46,35.1,4.34,45.2
FD0187,2025-07-02,July,Wednesday,Pune,North Indian,Website,Clear,111,446.14,49551.54,24884.79,2428.98,30.9,4.47,37.9
FD0188,2025-04-23,April,Wednesday,Jaipur,Chinese,App,Cloudy,125,383.06,45315.67,19777.96,3009.85,29.7,4.77,47.3
FD0189,2025-05-21,May,Wednesday,Bengaluru,Healthy,Website,Clear,151,489.84,79951.18,19974.58,6790.35,31.9,4.54,44.1
FD0190,2025-04-27,April,Sunday,Mumbai,South Indian,Partner Platform,Hot,169,347.52,53421.39,21182.66,5040.25,40.3,4.25,35.3
FD0191,2025-10-21,October,Tuesday,Bengaluru,South Indian,App,Rainy,209,345.55,66369.73,25173.92,4254.04,34.6,4.19,38.3
FD0192,2025-12-01,December,Monday,Kochi,Healthy,App,Cloudy,132,553.41,66471.97,27853.8,6155.12,29.1,4.41,43.6
FD0193,2025-03-24,March,Monday,Pune,North Indian,Partner Platform,Clear,121,405.36,46088.32,32943.25,7141.38,30.1,4.5,35.1
FD0194,2025-08-06,August,Wednesday,Pune,North Indian,Website,Hot,142,418.67,53533.89,21446.13,3852.36,36.5,4.23,42.1
